"Title","Sub Title","Authors/Editors","Edition Number","Volume Number","Part Number","Publisher","DOI","Online Publication date","Online ISBN","PB ISBN","PB Publication date","HB ISBN","HB Publication date","Series","Main subject","Sub subject","URL"
"Special Functions and Orthogonal Polynomials","","Richard Beals, Yale University, Connecticut; Roderick Wong, City University of Hong Kong","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781316227381","05-05-2016","9781316227381","","","9781107106987","19-05-2016","Cambridge Studies in Advanced Mathematics","Real and complex analysis","Algebra","https://www.cambridge.org/core/books/special-functions-and-orthogonal-polynomials/AC06AFBD9DF304B5D4E1111EA76673AA"
"Spectral Theory and Differential Operators","","E. Brian Davies, King's College London","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511623721","08-01-2010","9780511623721","9780521587105","24-10-1996","","","Cambridge Studies in Advanced Mathematics","Abstract analysis","Differential and integral equations, dynamical systems and control","https://www.cambridge.org/core/books/spectral-theory-and-differential-operators/93D1D33A1395B4BA34C81CF615E21EF6"
"Spectral Theory and its Applications","","Bernard Helffer","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139505727","05-03-2013","9781139505727","","","9781107032309","17-01-2013","Cambridge Studies in Advanced Mathematics","Differential and integral equations, dynamical systems and control","Theoretical physics and mathematical physics","https://www.cambridge.org/core/books/spectral-theory-and-its-applications/08793F97E428061CAEFBD6F78EC2D66F"
"Stochastic Analysis","Itô and Malliavin Calculus in Tandem","Hiroyuki Matsumoto, Aoyama Gakuin University, Japan; Setsuo Taniguchi, Kyushu University, Japan","1","","","Cambridge University Press","https://doi.org/10.1017/9781316492888","17-11-2016","9781316492888","","","9781107140516","17-11-2016","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","Abstract analysis","https://www.cambridge.org/core/books/stochastic-analysis/F5344894B3DBFE2579F01C2FF7838F26"
"The Theory of Fusion Systems","An Algebraic Approach","David A. Craven, University of Oxford","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511794506","05-08-2012","9780511794506","","","9781107005969","23-06-2011","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/theory-of-fusion-systems/9D965BC0C808B9D9A188760E1327EFD8"
"The Three-Dimensional Navier-Stokes Equations","Classical Theory","James C. Robinson, University of Warwick; Jose L. Rodrigo, University of Warwick; Witold Sadowski, Uniwersytet Warszawski, Poland","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139095143","05-09-2016","9781139095143","","","9781107019669","08-09-2016","Cambridge Studies in Advanced Mathematics","Differential and integral equations, dynamical systems and control","Fluid dynamics and solid mechanics","https://www.cambridge.org/core/books/threedimensional-navierstokes-equations/82EDFE5B6F236CE381E7D80E947BC94A"
"Tolerance Graphs","","Martin Charles Golumbic, University of Haifa, Israel; Ann N. Trenk, Wellesley College, Massachusetts","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511542985","11-08-2009","9780511542985","","","9780521827584","12-02-2004","Cambridge Studies in Advanced Mathematics","Discrete mathematics, information theory and coding theory","Logic, categories and sets","https://www.cambridge.org/core/books/tolerance-graphs/C9023D5FD91A679D974DC9E3965C3016"
"Topics in Metric Fixed Point Theory","","Kazimierz Goebel; W. A. Kirk, University of Iowa","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511526152","21-10-2009","9780511526152","9780521064064","05-06-2008","9780521382892","04-10-1990","Cambridge Studies in Advanced Mathematics","Abstract analysis","Real and complex analysis","https://www.cambridge.org/core/books/topics-in-metric-fixed-point-theory/57722E4F15554BDFEFABAE390761F00E"
"Ultrametric Calculus","An Introduction to p-Adic Analysis","W. H. Schikhof","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511623844","12-01-2010","9780511623844","9780521032872","25-01-2007","","","Cambridge Studies in Advanced Mathematics","Abstract analysis","","https://www.cambridge.org/core/books/ultrametric-calculus/FD8E1172062BF97D41430B559C895CCC"
"Uniform Central Limit Theorems","","R. M. Dudley, Massachusetts Institute of Technology","2","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139014830","05-06-2014","9781139014830","9780521738415","22-05-2014","9780521498845","22-05-2014","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","","https://www.cambridge.org/core/books/uniform-central-limit-theorems/08936B317287871C6F78A0735B1DD96D"
"Uniform Central Limit Theorems","","R. M. Dudley, Massachusetts Institute of Technology","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511665622","20-05-2010","9780511665622","","","","","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","Abstract analysis","https://www.cambridge.org/core/books/uniform-central-limit-theorems/2B758EE0A81EB1F78F4E7961C735F0D7"
"Unit Equations in Diophantine Number Theory","","Jan-Hendrik Evertse, Universiteit Leiden; Kálmán Gyõry, Debreceni Egyetem, Hungary","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781316160749","05-12-2015","9781316160749","","","9781107097605","07-01-2016","Cambridge Studies in Advanced Mathematics","Number theory","","https://www.cambridge.org/core/books/unit-equations-in-diophantine-number-theory/12F79D4D2D65EC5D47A265DCCA82B62F"
"A User's Guide to Spectral Sequences","","John McCleary, Vassar College, New York","2","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511626289","19-01-2010","9780511626289","9780521567596","08-02-2001","9780521561419","08-02-2001","Cambridge Studies in Advanced Mathematics","Topology and geometry","Algebra","https://www.cambridge.org/core/books/users-guide-to-spectral-sequences/524E3BD5DDD6D387E3C609910142F6E6"
"Wavelets and Operators","","Yves Meyer, Institut Universitaire de France, Paris; D. H. Salinger, University of Leeds","1","1","","Cambridge University Press","https://doi.org/10.1017/CBO9780511623820","24-12-2009","9780511623820","9780521458696","12-01-1995","","","Cambridge Studies in Advanced Mathematics","Abstract analysis","Differential and integral equations, dynamical systems and control","https://www.cambridge.org/core/books/wavelets-and-operators/1E2A0A9CE47CB41603C9B6080E5FFFEA"
"Zeta Functions of Graphs","A Stroll through the Garden","Audrey Terras, University of California, San Diego","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511760426","05-03-2013","9780511760426","","","9780521113670","18-11-2010","Cambridge Studies in Advanced Mathematics","Discrete mathematics, information theory and coding theory","Number theory","https://www.cambridge.org/core/books/zeta-functions-of-graphs/D5F50D9296BCFAA6CCAE5696C8E8772B"
