"Title","Sub Title","Authors/Editors","Edition Number","Volume Number","Part Number","Publisher","DOI","Online Publication date","Online ISBN","PB ISBN","PB Publication date","HB ISBN","HB Publication date","Series","Main subject","Sub subject","URL"
"Characteristic Classes and the Cohomology of Finite Groups","","C. B. Thomas","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511897344","05-11-2011","9780511897344","9780521090650","27-11-2008","","","Cambridge Studies in Advanced Mathematics","Topology and geometry","Algebra","https://www.cambridge.org/core/books/characteristic-classes-and-the-cohomology-of-finite-groups/5E144BC0DB7B4FE37FCD13E1ED6D1AC3"
"Classical and Multilinear Harmonic Analysis","","Camil Muscalu, Cornell University, New York; Wilhelm Schlag, University of Chicago","1","1","","Cambridge University Press","https://doi.org/10.1017/CBO9781139047081","05-02-2013","9781139047081","","","9780521882453","31-01-2013","Cambridge Studies in Advanced Mathematics","Real and complex analysis","","https://www.cambridge.org/core/books/classical-and-multilinear-harmonic-analysis/0F3A1DE477BFF6547CB8A93F6B3588E8"
"Classical and Multilinear Harmonic Analysis","","Camil Muscalu, Cornell University, New York; Wilhelm Schlag, University of Chicago","1","2","","Cambridge University Press","https://doi.org/10.1017/CBO9781139410397","05-02-2013","9781139410397","","","9781107031821","31-01-2013","Cambridge Studies in Advanced Mathematics","Real and complex analysis","","https://www.cambridge.org/core/books/classical-and-multilinear-harmonic-analysis/90D53D53035CFACFA9F23D03DD298A5B"
"Clifford Algebras and Dirac Operators in Harmonic Analysis","","J. Gilbert, University of Texas, Austin; M. Murray, Virginia Polytechnic Institute and State University","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511611582","23-11-2009","9780511611582","9780521071987","14-08-2008","9780521346542","08-08-1991","Cambridge Studies in Advanced Mathematics","Abstract analysis","Mathematical physics","https://www.cambridge.org/core/books/clifford-algebras-and-dirac-operators-in-harmonic-analysis/64345613F0DFBC2016A603764A356EE6"
"Clifford Algebras and the Classical Groups","","Ian R. Porteous, University of Liverpool","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511470912","22-09-2009","9780511470912","9780521118026","06-08-2009","9780521551779","05-10-1995","Cambridge Studies in Advanced Mathematics","Algebra","Real and complex analysis","https://www.cambridge.org/core/books/clifford-algebras-and-the-classical-groups/F14B7362F52D08E4F2118B28B7B22D30"
"Cohen-Macaulay Rings","","Winfried Bruns; H. Jurgen Herzog","2","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511608681","04-12-2009","9780511608681","9780521566742","18-06-1998","","","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/cohenmacaulay-rings/938BC2204D8A7C99E2CEBA1695A692A4"
"Cohomological Methods in Transformation Groups","","Christopher Allday, University of Hawaii, Manoa; Volker Puppe, Universitat Konstanz, Germany","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511526275","04-12-2009","9780511526275","9780521101325","12-02-2009","9780521350228","01-07-1993","Cambridge Studies in Advanced Mathematics","Topology and geometry","","https://www.cambridge.org/core/books/cohomological-methods-in-transformation-groups/CDB0ED0BEA063C8144CBD0574F0DC173"
"Cohomology of Drinfeld Modular Varieties","","Gerard Laumon, Universite de Paris XI; Jean Loup Waldspurger","1","","2","Cambridge University Press","https://doi.org/10.1017/CBO9780511661969","25-03-2010","9780511661969","9780521109901","30-04-2009","9780521470612","09-01-1997","Cambridge Studies in Advanced Mathematics","Number theory","Topology and geometry","https://www.cambridge.org/core/books/cohomology-of-drinfeld-modular-varieties/68EB893F074DC9E2C6E0C8B87EB86F70"
"Cohomology of Drinfeld Modular Varieties","","Gerard Laumon, Universite de Paris XI","1","","1","Cambridge University Press","https://doi.org/10.1017/CBO9780511666162","03-05-2010","9780511666162","9780521172745","09-12-2010","9780521470605","14-12-1995","Cambridge Studies in Advanced Mathematics","Number theory","","https://www.cambridge.org/core/books/cohomology-of-drinfeld-modular-varieties/1166B891A81A3E757AEF9AABC4FDC5F1"
"Commutative Ring Theory","","H. Matsumura; Miles Reid","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139171762","05-06-2012","9781139171762","9780521367646","25-05-1989","","","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/commutative-ring-theory/02819830750568B06C16E6199F3562C1"
"Completely Bounded Maps and Operator Algebras","","Vern Paulsen, University of Houston","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511546631","24-11-2009","9780511546631","","","9780521816694","06-02-2003","Cambridge Studies in Advanced Mathematics","Abstract analysis","","https://www.cambridge.org/core/books/completely-bounded-maps-and-operator-algebras/47AF05B5F924ADE4FA30770B10050B76"
"Complex Analysis","","Kunihiko Kodaira","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511804045","05-06-2012","9780511804045","","","9780521809375","23-08-2007","Cambridge Studies in Advanced Mathematics","Real and complex analysis","","https://www.cambridge.org/core/books/complex-analysis/A9AA21145C208775C188ED0AB8FE60A8"
"Complex Polynomials","","T. Sheil-Small, University of York","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511543074","13-08-2009","9780511543074","9780521102766","12-03-2009","9780521400688","07-11-2002","Cambridge Studies in Advanced Mathematics","Real and complex analysis","Abstract analysis","https://www.cambridge.org/core/books/complex-polynomials/66C9D6BF3190DA5B7C11D727E656B249"
"Complex Topological K-Theory","","Efton Park, Texas Christian University","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511611476","31-10-2009","9780511611476","","","9780521856348","13-03-2008","Cambridge Studies in Advanced Mathematics","Topology and geometry","","https://www.cambridge.org/core/books/complex-topological-ktheory/1C248AFD0F3AE9B0BE218F37D34D470F"
"A Course in Finite Group Representation Theory","","Peter Webb, University of Minnesota","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781316677216","05-08-2016","9781316677216","","","9781107162396","01-09-2016","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/course-in-finite-group-representation-theory/00BB9DDC14344C3BC3463D6CEB87986E"
"Cox Rings","","Ivan Arzhantsev, Moscow State University; Ulrich Derenthal, Leibniz Universitat Hannover; Jurgen Hausen, Eberhard-Karls-Universitat Tubingen, Germany; Antonio Laface, Universidad de Concepcion, Chile","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139175852","05-10-2014","9781139175852","","","9781107024625","16-10-2014","Cambridge Studies in Advanced Mathematics","Topology and geometry","Algebra","https://www.cambridge.org/core/books/cox-rings/E8D43404194A7BDF4597AE5EA4160C0F"
"Differential Topology","","C. T. C. Wall, University of Liverpool","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781316597835","05-07-2016","9781316597835","","","9781107153523","14-07-2016","Cambridge Studies in Advanced Mathematics","Topology and geometry","","https://www.cambridge.org/core/books/differential-topology/A05E56581463E53EEF632B1336C5FC5C"
"Discrete Harmonic Analysis","Representations, Number Theory, Expanders, and the Fourier Transform","Tullio Ceccherini-Silberstein, Universita degli Studi del Sannio, Italy; Fabio Scarabotti, Universita degli Studi di Roma 'La Sapienza', Italy; Filippo Tolli","1","","","Cambridge University Press","","30-04-2018","9781316856383","","","9781107182332","31-07-2018","Cambridge Studies in Advanced Mathematics","Algebra","Discrete mathematics, information theory and coding theory","https://www.cambridge.org/core/books/discrete-harmonic-analysis/8B432BD3CC6E5E8B9E43A293E7D9E4F4"
"Eisenstein Series and Automorphic Representations","With Applications in String Theory","Philipp Fleig; Henrik P. A. Gustafsson, Stanford University, California; Axel Kleinschmidt, Max-Planck-Institut fur Gravitationsphysik, Germany; Daniel Persson, Chalmers University of Technology, Gothenberg","1","","","Cambridge University Press","","30-04-2018","9781316995860","","","9781107189928","31-07-2018","Cambridge Studies in Advanced Mathematics","Number theory","Theoretical physics and mathematical physics","https://www.cambridge.org/core/books/eisenstein-series-and-automorphic-representations/A815C7DFFF757DE89269DE0C36B6FBB8"
"Enumerative Combinatorics","","Richard P. Stanley, Massachusetts Institute of Technology","2","1","","Cambridge University Press","https://doi.org/10.1017/CBO9781139058520","05-06-2012","9781139058520","9781107602625","23-02-2012","9781107015425","23-02-2012","Cambridge Studies in Advanced Mathematics","Discrete mathematics, information theory and coding theory","Algorithmics, complexity, computer algebra and computational geometry","https://www.cambridge.org/core/books/enumerative-combinatorics/3155CDE1D973D49F873BDE2EAF8D7651"
"Enumerative Combinatorics","","Richard P. Stanley, Massachusetts Institute of Technology; Gian-Carlo Rota","1","1","","Cambridge University Press","https://doi.org/10.1017/CBO9780511805967","05-06-2012","9780511805967","","","","","Cambridge Studies in Advanced Mathematics","Discrete mathematics, information theory and coding theory","Algebra","https://www.cambridge.org/core/books/enumerative-combinatorics/D4B3B5AAB2FFE4226B9A631888057826"
"Enumerative Combinatorics","","Richard P. Stanley, Massachusetts Institute of Technology; Sergey Fomin","1","2","","Cambridge University Press","https://doi.org/10.1017/CBO9780511609589","18-01-2010","9780511609589","9780521789875","09-08-2001","9780521560696","01-04-1999","Cambridge Studies in Advanced Mathematics","Discrete mathematics, information theory and coding theory","Algebra","https://www.cambridge.org/core/books/enumerative-combinatorics/D8DDDFF7E8EBF0BCFE99F5E6918CE2A8"
"Erdõs-Ko-Rado Theorems: Algebraic Approaches","","Christopher Godsil, University of Waterloo, Ontario; Karen Meagher, University of Regina, Saskatchewan, Canada","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781316414958","05-12-2015","9781316414958","","","9781107128446","26-11-2015","Cambridge Studies in Advanced Mathematics","Discrete mathematics, information theory and coding theory","Algebra","https://www.cambridge.org/core/books/erdoskorado-theorems-algebraic-approaches/D5D0760304EDB795122C9707CA25D03C"
"Ergodic Theory","","Karl E. Petersen, University of North Carolina, Chapel Hill","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511608728","05-06-2012","9780511608728","9780521389976","23-11-1989","","","Cambridge Studies in Advanced Mathematics","Abstract analysis","Differential and integral equations, dynamical systems and control","https://www.cambridge.org/core/books/ergodic-theory/4F50E2830B2812125F24D4A2CE7318D0"
"Explicit Brauer Induction","With Applications to Algebra and Number Theory","Victor P. Snaith, McMaster University, Ontario","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511600746","12-01-2010","9780511600746","9780521172738","17-02-2011","9780521460156","27-10-1994","Cambridge Studies in Advanced Mathematics","Algebra","Topology and geometry","https://www.cambridge.org/core/books/explicit-brauer-induction/DB18B359E3E14443F6204D2F36192116"
"Finite Group Theory","","M. Aschbacher, California Institute of Technology","2","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139175319","05-06-2012","9781139175319","9780521786751","28-09-2000","9780521781459","28-09-2000","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/finite-group-theory/EB5CE66C17982A6B48855F2EDC2DA6F9"
"Formal Geometry and Bordism Operations","","Eric Peterson","1","","","Cambridge University Press","","30-04-2018","9781108552165","","","","","Cambridge Studies in Advanced Mathematics","Topology and geometry","Logic, categories and sets","https://www.cambridge.org/core/books/formal-geometry-and-bordism-operations/90299C5BDE861B9FB2A590C83D9F2D47"
"Foundations of Ergodic Theory","","Marcelo Viana, Instituto Nacional de Matemática Pura e Aplicada (IMPA), Rio de Janeiro; Krerley Oliveira, Universidade Federal de Alagoas, Brazil","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781316422601","05-02-2016","9781316422601","","","9781107126961","25-02-2016","Cambridge Studies in Advanced Mathematics","Abstract analysis","Differential and integral equations, dynamical systems and control","https://www.cambridge.org/core/books/foundations-of-ergodic-theory/F5AE11B50B16D9FF32909EA4BBA1E7CE"
"Fourier Analysis and Hausdorff Dimension","","Pertti Mattila, University of Helsinki","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781316227619","05-09-2015","9781316227619","","","9781107107359","23-07-2015","Cambridge Studies in Advanced Mathematics","Abstract analysis","Real and complex analysis","https://www.cambridge.org/core/books/fourier-analysis-and-hausdorff-dimension/78A25BED2C6E4F9B911971305DC928B0"
"Fourier Analysis and Partial Differential Equations","","Rafael Jose Iorio, Jr, IMPA, Rio de Janeiro; Valeria de Magalh?es Iorio","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511623745","05-07-2014","9780511623745","9780521629096","19-07-2012","9780521621168","15-03-2001","Cambridge Studies in Advanced Mathematics","Abstract analysis","Differential and integral equations, dynamical systems and control","https://www.cambridge.org/core/books/fourier-analysis-and-partial-differential-equations/39312A08B4D4F25F65F39581D229285B"
"Fractals in Probability and Analysis","","Christopher J. Bishop, Stony Brook University, State University of New York; Yuval Peres","1","","","Cambridge University Press","https://doi.org/10.1017/9781316460238","19-01-2017","9781316460238","","","9781107134119","22-12-2016","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","Real and complex analysis","https://www.cambridge.org/core/books/fractals-in-probability-and-analysis/D8CBD4181FDC20C387E22939DA2F6168"
"Galois Groups and Fundamental Groups","","Tamás Szamuely, Hungarian Academy of Sciences, Budapest","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511627064","05-08-2012","9780511627064","","","9780521888509","16-07-2009","Cambridge Studies in Advanced Mathematics","Algebra","Number theory","https://www.cambridge.org/core/books/galois-groups-and-fundamental-groups/2511B1C10ACF174A0F444A045D9C1F89"
"Galois Representations and (Phi, Gamma)-Modules","","Peter Schneider, Westfalische Wilhelms-Universitat Munster, Germany","1","","","Cambridge University Press","https://doi.org/10.1017/9781316981252","04-05-2017","9781316981252","","","9781107188587","20-04-2017","Cambridge Studies in Advanced Mathematics","Number theory","Algebra","https://www.cambridge.org/core/books/galois-representations-and-phi-gammamodules/28A4BD2B8EB027BBF21FEEC375BCEE0B"
"Galois Theories","","Francis Borceux, Universite Catholique de Louvain, Belgium; George Janelidze","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511619939","11-01-2010","9780511619939","9780521070416","31-07-2008","9780521803090","22-02-2001","Cambridge Studies in Advanced Mathematics","Logic, categories and sets","Algebra","https://www.cambridge.org/core/books/galois-theories/8D017BD1A8DFB0F0EBD01DCDAA134FEE"
"Gaussian Processes on Trees","From Spin Glasses to Branching Brownian Motion","Anton Bovier, Rheinische Friedrich-Wilhelms-Universitat Bonn","1","","","Cambridge University Press","https://doi.org/10.1017/9781316675779","17-11-2016","9781316675779","","","9781107160491","17-11-2016","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","Mathematical physics","https://www.cambridge.org/core/books/gaussian-processes-on-trees/0CAE50CA3DA201B5737C8FBA0C60A406"
"Geometric Analysis","","Peter Li, University of California, Irvine","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139105798","05-06-2012","9781139105798","","","9781107020641","03-05-2012","Cambridge Studies in Advanced Mathematics","Topology and geometry","Differential and integral equations, dynamical systems and control","https://www.cambridge.org/core/books/geometric-analysis/D0A2375D56122B91A0BA370530978248"
"Geometric Control Theory","","Velimir Jurdjevic, University of Toronto","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511530036","07-10-2009","9780511530036","9780521058247","15-05-2008","9780521495028","27-03-1997","Cambridge Studies in Advanced Mathematics","Differential and integral equations, dynamical systems and control","Abstract analysis","https://www.cambridge.org/core/books/geometric-control-theory/1A9B7398F632D1A153E6F6B7AA18EE14"
